swappable_index,source_index,unit_id,land_use,block_id
0,0,511011208012,farmland,2435
1,2,511011208011,forest,2426
2,3,511011211008,farmland,2772
3,5,511011208012,forest,2436
4,6,511011211008,forest,2773
5,7,511011211008,forest,2773
6,8,511011211008,farmland,2773
7,9,511011211008,farmland,2775
8,10,511011211008,farmland,2772
9,11,511011208012,forest,2436
10,13,511011211008,farmland,2772
11,16,511011211008,farmland,2772
12,18,511011211008,farmland,2771
13,20,511011211008,forest,2771
14,21,511011211008,forest,2771
15,22,511011211008,forest,2771
16,24,511011208012,farmland,2436
17,29,511011211008,farmland,2771
18,30,511011211008,farmland,2772
19,31,511011211008,farmland,2771
20,34,511011211008,farmland,2771
21,35,511011208012,forest,2436
22,36,511011208012,forest,2436
23,37,511011211008,forest,2774
24,38,511011208011,forest,2427
25,39,511011208012,farmland,2436
26,40,511011208011,forest,2428
27,45,511011211008,forest,2774
28,47,511011211008,farmland,2773
29,48,511011208011,forest,2426
30,49,511011208012,farmland,2434
31,50,511011211008,forest,2772
32,54,511011211008,farmland,2773
33,55,511011211008,forest,2771
34,56,511011208012,farmland,2435
35,57,511011211008,farmland,2774
36,59,511011208012,forest,2436
37,61,511011208011,forest,2427
38,62,511011208012,farmland,2436
39,63,511011208012,farmland,2436
40,64,511011208012,farmland,2436
41,65,511011211008,farmland,2774
42,66,511011211009,forest,2779
43,70,511011211008,farmland,2775
44,71,511011208012,farmland,2435
45,72,511011211009,forest,2779
46,73,511011208012,forest,2435
47,74,511011208012,forest,2436
48,79,511011208011,farmland,2427
49,80,511011208012,forest,2436
50,86,511011208011,forest,2428
51,89,511011208011,forest,2426
52,90,511011208012,forest,2435
53,92,511011211008,forest,2773
54,93,511011208013,forest,2441
55,94,511011208012,forest,2436
56,95,511011208012,farmland,2436
57,96,511011208013,forest,2442
58,97,511011208012,farmland,2434
59,100,511011208012,forest,2436
60,104,511011208012,farmland,2435
61,107,511011208011,farmland,2429
62,109,511011208012,forest,2434
63,110,511011208011,forest,2429
64,111,511011208011,farmland,2428
65,114,511011208011,forest,2427
66,115,511011211008,forest,2772
67,116,511011211008,forest,2774
68,118,511011208011,forest,2426
69,120,511011208011,forest,2426
70,121,511011211008,forest,2771
71,122,511011211008,farmland,2773
72,123,511011208012,forest,2436
73,128,511011208012,farmland,2434
74,129,511011208011,forest,2427
75,131,511011211008,forest,2773
76,133,511011208011,farmland,2426
77,134,511011208011,forest,2430
78,137,511011211008,farmland,2772
79,139,511011208011,farmland,2428
80,140,511011211008,farmland,2773
81,141,511011208013,forest,2441
82,143,511011208013,forest,2440
83,144,511011208012,forest,2436
84,145,511011211009,farmland,2779
85,146,511011211008,farmland,2772
86,148,511011211008,farmland,2774
87,151,511011211008,farmland,2773
88,153,511011208011,forest,2426
89,155,511011208012,forest,-1
90,156,511011208012,forest,2435
91,157,511011211008,forest,2772
92,159,511011208011,farmland,2428
93,162,511011208013,forest,2440
94,163,511011211008,forest,2775
95,165,511011211009,forest,2779
96,167,511011208012,farmland,2432
97,171,511011208013,forest,2442
98,172,511011208012,forest,2435
99,174,511011208012,farmland,2435
100,175,511011208012,forest,2434
101,177,511011208011,forest,2427
102,178,511011208012,farmland,2434
103,180,511011211008,forest,2774
104,182,511011208012,farmland,2432
105,184,511011208011,farmland,2426
106,189,511011208011,forest,2426
107,190,511011208012,farmland,2434
108,191,511011208013,forest,2443
109,192,511011208005,forest,2374
110,199,511011211008,farmland,2775
111,202,511011211008,farmland,2777
112,205,511011211008,farmland,2774
113,207,511011211008,farmland,2775
114,209,511011208014,farmland,2447
115,210,511011208016,forest,2466
116,213,511011211007,farmland,2764
117,214,511011208005,forest,2371
118,216,511011211007,farmland,2765
119,218,511011211007,farmland,2764
120,219,511011206005,forest,2106
121,221,511011211007,forest,2760
122,222,511011208010,forest,2419
123,223,511011208010,forest,2419
124,224,511011206005,forest,2105
125,225,511011211009,forest,2785
126,229,511011208011,farmland,2429
127,232,511011208011,farmland,2429
128,233,511011208010,farmland,2420
129,235,511011211009,farmland,2784
130,236,511011208013,farmland,2439
131,240,511011208014,forest,2450
132,241,511011211009,farmland,2785
133,245,511011208014,forest,2451
134,247,511011211007,forest,2760
135,249,511011208005,farmland,2372
136,250,511011208002,forest,2341
137,251,511011206015,forest,2189
138,252,511011206010,farmland,2144
139,257,511011208014,forest,2448
140,259,511011206011,farmland,2157
141,260,511011208016,forest,2466
142,264,511011208016,forest,2468
143,266,511011208014,farmland,2450
144,267,511011208009,forest,2418
145,270,511011208016,farmland,2472
146,271,511011208014,forest,2450
147,272,511011208013,forest,2440
148,274,511011208011,forest,2429
149,275,511011208011,forest,2430
150,277,511011208012,forest,2433
151,278,511011211008,forest,2771
152,279,511011208011,farmland,2429
153,281,511011208013,forest,2440
154,285,511011211009,forest,2779
155,287,511011211008,farmland,2774
156,288,511011208011,forest,2426
157,289,511011208013,forest,2441
158,290,511011211009,forest,2779
159,291,511011211008,forest,2772
160,292,511011208011,forest,2428
161,294,511011208012,farmland,2433
162,295,511011208012,farmland,2436
163,297,511011208011,farmland,2427
164,301,511011208011,forest,2426
165,302,511011208013,forest,2441
166,304,511011208012,farmland,2437
167,306,511011211008,forest,2773
168,310,511011211008,farmland,2774
169,311,511011211008,forest,2773
170,313,511011208012,forest,2436
171,315,511011208011,farmland,2427
